9911000006,iOS,SMS,2018-02-04 00:01:56.129032,115,269,23
9911000265,Android,SMS,2018-02-04 00:03:52.258064,189,983,63
9911000006,Windows,SMS,2018-02-04 00:05:48.387096,66,175,7
9911000203,Android,ESIA,2018-02-04 00:07:44.516128,213,294,103
9911000235,iOS,SMS,2018-02-04 00:09:40.645160,181,187,10
9911000142,Android,SMS,2018-02-04 00:11:36.774192,91,277,18
9911000284,Android,SMS,2018-02-04 00:13:32.903224,1,311,99
9911000017,Android,SMS,2018-02-04 00:15:29.032256,207,650,46
9911000076,Android,Call,2018-02-04 00:17:25.161288,6,146,85
9911000214,iOS,SMS,2018-02-04 00:19:21.290320,226,539,107
9911000076,Android,SMS,2018-02-04 00:21:17.419352,140,134,67
9911000210,Windows,SMS,2018-02-04 00:23:13.548384,157,440,104
9911000143,iOS,SMS,2018-02-04 00:25:09.677416,33,356,42
9911000214,Android,SMS,2018-02-04 00:27:05.806448,34,659,39
9911000270,Windows,SMS,2018-02-04 00:29:01.935480,21,190,74
9911000048,Android,SMS,2018-02-04 00:30:58.064512,360,685,34
9911000142,iOS,SMS,2018-02-04 00:32:54.193544,50,174,7
9911000306,iOS,SMS,2018-02-04 00:34:50.322576,50,164,34
9911000028,Android,SMS,2018-02-04 00:36:46.451608,157,495,97
9911000065,Android,Call,2018-02-04 00:38:42.580640,311,826,67
9911000057,Windows,SMS,2018-02-04 00:40:38.709672,286,636,53
9911000195,Windows,SMS,2018-02-04 00:42:34.838704,49,203,81
9911000120,Android,SMS,2018-02-04 00:44:30.967736,79,760,52
9911000128,MacOS,SMS,2018-02-04 00:46:27.096768,165,305,58
9911000214,MacOS,SMS,2018-02-04 00:48:23.225800,118,418,97
9911000290,Windows,SMS,2018-02-04 00:50:19.354832,293,612,67
9911000123,Windows,SMS,2018-02-04 00:52:15.483864,190,135,68
9911000266,Android,SMS,2018-02-04 00:54:11.612896,59,263,42
9911000223,Windows,SMS,2018-02-04 00:56:07.741928,226,468,55
9911000214,Android,SMS,2018-02-04 00:58:03.870960,114,535,100
9911000306,Windows,Call,2018-02-04 00:59:59.999992,42,522,14
9911000154,Windows,SMS,2018-02-04 01:02:23.999992,216,199,52
9911000200,Android,SMS,2018-02-04 01:04:47.999992,125,960,66
9911000231,iOS,SMS,2018-02-04 01:07:11.999992,268,623,13
9911000269,Android,Call,2018-02-04 01:09:35.999992,69,551,64
9911000142,iOS,SMS,2018-02-04 01:11:59.999992,56,226,99
9911000261,Android,SMS,2018-02-04 01:14:23.999992,63,528,105
9911000280,iOS,SMS,2018-02-04 01:16:47.999992,87,183,53
9911000076,Android,SMS,2018-02-04 01:19:11.999992,119,275,4
9911000182,Android,ESIA,2018-02-04 01:21:35.999992,6,407,20
9911000255,Android,SMS,2018-02-04 01:23:59.999992,185,131,88
9911000255,Android,SMS,2018-02-04 01:26:23.999992,2,286,47
9911000087,Android,SMS,2018-02-04 01:28:47.999992,64,669,40
9911000129,Android,Call,2018-02-04 01:31:11.999992,61,102,25
9911000012,Android,SMS,2018-02-04 01:33:35.999992,235,274,100
9911000006,Android,SMS,2018-02-04 01:35:59.999992,2,232,97
9911000241,iOS,SMS,2018-02-04 01:38:23.999992,18,74,50
9911000297,iOS,SMS,2018-02-04 01:40:47.999992,1,586,107
9911000188,Android,SMS,2018-02-04 01:43:11.999992,95,200,100
9911000297,Android,Call,2018-02-04 01:45:35.999992,82,466,54
9911000258,Android,SMS,2018-02-04 01:47:59.999992,69,53,92
9911000265,Android,Call,2018-02-04 01:50:23.999992,117,857,99
9911000149,Android,Call,2018-02-04 01:52:47.999992,245,434,97
9911000024,iOS,SMS,2018-02-04 01:55:11.999992,194,195,40
9911000311,Windows,ESIA,2018-02-04 01:57:35.999992,147,206,98
9911000185,Android,SMS,2018-02-04 01:59:59.999992,224,477,36
9911000016,Windows,Call,2018-02-04 02:05:27.272719,62,283,64
9911000007,Android,SMS,2018-02-04 02:10:54.545446,7,497,26
9911000001,Android,SMS,2018-02-04 02:16:21.818173,19,68,22
9911000081,Android,SMS,2018-02-04 02:21:49.090900,52,248,48
9911000012,iOS,SMS,2018-02-04 02:27:16.363627,47,133,108
9911000001,Android,SMS,2018-02-04 02:32:43.636354,120,75,71
9911000087,Windows,SMS,2018-02-04 02:38:10.909081,178,451,71
9911000081,Android,SMS,2018-02-04 02:43:38.181808,51,230,98
9911000071,Android,SMS,2018-02-04 02:49:05.454535,43,428,1
9911000036,Android,SMS,2018-02-04 02:54:32.727262,91,84,67
9911000087,Windows,SMS,2018-02-04 02:59:59.999989,258,603,65
9911000184,iOS,Call,2018-02-04 03:07:29.999989,207,181,10
9911000087,Android,SMS,2018-02-04 03:14:59.999989,76,693,60
9911000123,Android,Call,2018-02-04 03:22:29.999989,235,179,73
9911000255,iOS,SMS,2018-02-04 03:29:59.999989,33,295,9
9911000250,Windows,SMS,2018-02-04 03:37:29.999989,228,276,99
9911000137,Android,Call,2018-02-04 03:44:59.999989,202,362,8
9911000203,Android,SMS,2018-02-04 03:52:29.999989,9,187,67
9911000133,Android,SMS,2018-02-04 03:59:59.999989,255,465,92
9911000096,iOS,SMS,2018-02-04 04:08:34.285703,176,218,15
9911000016,MacOS,SMS,2018-02-04 04:17:08.571417,293,464,48
9911000026,Windows,SMS,2018-02-04 04:25:42.857131,98,327,87
9911000237,Windows,SMS,2018-02-04 04:34:17.142845,118,690,45
9911000245,Android,SMS,2018-02-04 04:42:51.428559,227,285,14
9911000041,iOS,SMS,2018-02-04 04:51:25.714273,133,553,34
9911000210,Windows,SMS,2018-02-04 04:59:59.999987,178,643,6
9911000243,Android,SMS,2018-02-04 05:05:27.272714,103,55,1
9911000162,Android,SMS,2018-02-04 05:10:54.545441,8,110,37
9911000309,Windows,SMS,2018-02-04 05:16:21.818168,324,461,34
